id,name,popularity,duration_ms,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1NMl9JKKuALpMyCjPJKmXC,Kapitel 196 - Der Page und die Herzogin,1,130365,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.631,0.147,8.0,-21.295,0.0,0.957,0.507,0.0,0.156,0.358,79.655,1
1OB8GfVORDmpXpSAd99wzG,Kapitel 280 - Der Page und die Herzogin,1,138202,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.687,0.163,9.0,-20.728,1.0,0.948,0.417,0.0,0.185,0.334,79.55,4
1OLSdxjLYZ8UxoUHxiPzt5,Thou Swell,3,178573,['Louisiana Sugar Babes'],['7v7kaJu9r56aWIC4JnfPp0'],1926,0.479,0.208,5.0,-17.239,0.0,0.0544,0.981,0.864,0.0912,0.603,114.38,4
1Ocbnx9qP9kSaVo5OllZ3W,Comandante Franco - Remasterizado,0,139253,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],25-04-1926,0.597,0.133,4.0,-23.644,0.0,0.0664,0.996,0.901,0.149,0.523,120.827,4
1P1Kyocvg380jDMtbAtsVX,Kapitel 84 - Der Page und die Herzogin,1,134492,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.713,0.165,9.0,-22.075,0.0,0.933,0.378,0.0,0.198,0.224,113.58,4
1P3YFEDFTCSSQ4KVoUgO7t,Smashin' Thirds,4,184920,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],1926,0.541,0.247,0.0,-19.291,1.0,0.0432,0.982,0.868,0.131,0.812,111.664,4
1QC75Q86SC5HgaY7TmI8S6,My Gal Sal,0,191067,['Ted Weems & His Orchestra'],['7nQr572o0bqpK1LoX0Whan'],01-07-1926,0.344,0.151,10.0,-13.432,1.0,0.04,0.995,0.672,0.0653,0.395,200.025,4
1QNxncr6AXcnXY92tN4bAJ,Kapitel 8 - Der Page und die Herzogin,2,137314,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.714,0.166,1.0,-22.206,1.0,0.878,0.407,0.0,0.168,0.365,109.286,3
1QP3BHbxXRyQQQxETcN68O,Dead Man Blues,1,186560,['Jelly Roll Morton'],['4XepUkisa56DUeA3gbjDQD'],1926,0.677,0.347,7.0,-6.282,1.0,0.0391,0.99,0.522,0.173,0.42,91.187,4
1QRYGTxFGhKzix98AHnBQC,David And Uriah,0,227027,['Reverend J.M. Gates'],['0VIppPmtdJ82EsAkSGANZN'],1926,0.703,0.445,4.0,-12.479,1.0,0.886,0.902,0.0,0.758,0.431,107.124,5
